ID Major Occupation Group,Major Occupation Group,ID Minor Occupation Group,Minor Occupation Group,ID Broad Occupation,Broad Occupation,ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Industry Sector,Industry Sector,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,yiopop RCA,Slug Detailed Occupation,Workforce Prev,Workforce Growth,Wage Prev,Average Wage Growth,Share
450000-490000,"Natural resources, construction, & maintenance occupations",450000,"Farming, Fishing, & Forestry Occupations",450000,"Farming, Fishing, & Forestry Occupations",451011,"Firstline supervisors of farming, fishing, & forestry workers",2022,2022,92,Public Administration,True,True,661,631.2109799278242,44864.387291981846,20808.68440600673,38,0.2711644518885476,firstline-supervisors-of-farming-fishing-forestry-workers,624.0,5.929487179487179,40568.40865384616,10.58946796457199,0.0088244486088009
450000-490000,"Natural resources, construction, & maintenance occupations",450000,"Farming, Fishing, & Forestry Occupations",450000,"Farming, Fishing, & Forestry Occupations",452011,Agricultural inspectors,2022,2022,92,Public Administration,True,True,9506,2393.6469446703177,62363.522512097625,12894.301573447005,516,14.520108334737332,agricultural-inspectors,9547.0,-0.4294542788310463,56523.9044726092,10.33123612739498,0.1269065181168867
450000-490000,"Natural resources, construction, & maintenance occupations",450000,"Farming, Fishing, & Forestry Occupations",450000,"Farming, Fishing, & Forestry Occupations",452041,"Graders & sorters, agricultural products",2022,2022,92,Public Administration,True,True,212,357.472293315471,44382.02830188679,54216.35609280052,18,0.0845873715488164,graders-sorters-agricultural-products,348.0,-39.08045977011494,56549.39942528736,-21.51635781645392,0.0028302316264233
450000-490000,"Natural resources, construction, & maintenance occupations",450000,"Farming, Fishing, & Forestry Occupations",450000,"Farming, Fishing, & Forestry Occupations",4520XX,"Miscellaneous agricultural workers, including animal breeders",2022,2022,92,Public Administration,True,True,1586,977.741583443582,36962.39974779319,13635.082722275463,83,0.0446006694861168,miscellaneous-agricultural-workers-including-animal-breeders,1404.0,12.962962962962962,36628.67592592593,0.9110998785272868,0.0211733366014498
450000-490000,"Natural resources, construction, & maintenance occupations",450000,"Farming, Fishing, & Forestry Occupations",450000,"Farming, Fishing, & Forestry Occupations",453031,Fishing and hunting workers,2022,2022,92,Public Administration,True,True,577,589.7417057203097,28611.506065857884,18560.1551474173,25,0.5316085339765968,fishing-and-hunting-workers,510.0,13.137254901960786,27873.398039215685,2.6480733551170887,0.0077030360775766
450000-490000,"Natural resources, construction, & maintenance occupations",450000,"Farming, Fishing, & Forestry Occupations",450000,"Farming, Fishing, & Forestry Occupations",454011,Forest & conservation workers,2022,2022,92,Public Administration,True,True,2450,1215.2183071537854,48727.49428571429,15088.075445998573,142,2.9653741745418234,forest-conservation-workers,2325.0,5.376344086021505,46272.54967741935,5.305401637491634,0.0327078654940429
450000-490000,"Natural resources, construction, & maintenance occupations",450000,"Farming, Fishing, & Forestry Occupations",450000,"Farming, Fishing, & Forestry Occupations",454020,Logging workers,2022,2022,92,Public Administration,True,True,467,530.5575906036348,44610.09421841542,38384.17453346894,35,0.236212198330955,logging-workers,416.0,12.259615384615383,39717.21634615384,12.319287005458516,0.00623451966764
450000-490000,"Natural resources, construction, & maintenance occupations",470000,Construction & Extraction Occupations,470000,Construction & Extraction Occupations,471011,Firstline supervisors of construction trades & extraction workers,2022,2022,92,Public Administration,True,True,3980,1548.8544694021748,82763.21231155779,33076.63737578945,214,0.1258276981917216,firstline-supervisors-of-construction-trades-extraction-workers,4110.0,-3.1630170316301705,75531.3895377129,9.574592521211375,0.0531335937413432
450000-490000,"Natural resources, construction, & maintenance occupations",470000,Construction & Extraction Occupations,470000,Construction & Extraction Occupations,472011,Boilermakers,2022,2022,92,Public Administration,True,True,349,458.6558888400384,77036.07449856734,51300.74912286179,15,0.4597669969170505,boilermakers,335.0,4.179104477611941,71888.23582089553,7.160891652004492,0.0046592020642534
450000-490000,"Natural resources, construction, & maintenance occupations",470000,Construction & Extraction Occupations,470000,Construction & Extraction Occupations,472031,Carpenters,2022,2022,92,Public Administration,True,True,2762,1290.276100698762,62408.93627805938,15250.557411941802,155,0.0572449859400845,carpenters,2902.0,-4.824259131633356,53084.513439007584,17.565241225701843,0.0368731120385904
450000-490000,"Natural resources, construction, & maintenance occupations",470000,Construction & Extraction Occupations,470000,Construction & Extraction Occupations,472061,Construction laborers,2022,2022,92,Public Administration,True,True,3270,1403.925192132968,55966.06483180428,18297.820927849138,165,0.0422173460463205,construction-laborers,3539.0,-7.601017236507487,50903.74879909579,9.944878623160292,0.0436549878226614
450000-490000,"Natural resources, construction, & maintenance occupations",470000,Construction & Extraction Occupations,470000,Construction & Extraction Occupations,472070,Construction equipment operators,2022,2022,92,Public Administration,True,True,7976,2192.582510437783,53855.061810431296,8053.147347768103,392,0.4252252026680874,construction-equipment-operators,7593.0,5.044119583827209,50285.44514684578,7.098707495103934,0.1064807898695864
450000-490000,"Natural resources, construction, & maintenance occupations",470000,Construction & Extraction Occupations,470000,Construction & Extraction Occupations,472111,Electricians,2022,2022,92,Public Administration,True,True,13997,2904.505872049338,69948.24283775095,7189.662361120444,654,0.3234172991208705,electricians,15155.0,-7.641042560211152,62808.03081491257,11.36831059690391,0.1868620380898446
450000-490000,"Natural resources, construction, & maintenance occupations",470000,Construction & Extraction Occupations,470000,Construction & Extraction Occupations,472140,Painters & paperhangers,2022,2022,92,Public Administration,True,True,3441,1440.1647706667875,59622.851787271145,9043.347197529847,138,0.1613262942846386,painters-paperhangers,4055.0,-15.141800246609124,53028.87176325524,12.434697938614264,0.0459378633326538
450000-490000,"Natural resources, construction, & maintenance occupations",470000,Construction & Extraction Occupations,470000,Construction & Extraction Occupations,472151,Pipelayers,2022,2022,92,Public Administration,True,True,337,450.7017330355472,54814.34421364985,29898.324860647448,19,0.1352646640090385,pipelayers,193.0,74.61139896373057,55279.99481865285,-0.8423492196961604,0.0044990002740785
