ID Major Occupation Group,Major Occupation Group,ID Minor Occupation Group,Minor Occupation Group,ID Broad Occupation,Broad Occupation,ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Industry Sector,Industry Sector,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,yiopop RCA,Slug Detailed Occupation,Workforce Prev,Workforce Growth,Wage Prev,Average Wage Growth,Share
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,511011,Firstline supervisors of production & operating workers,2022,2022,92,Public Administration,True,True,5974,1897.5745190555413,80881.73652494141,11406.602260586118,314,0.1513365745069892,firstline-supervisors-of-production-operating-workers,5891.0,1.408928874554405,73854.06229842133,9.515623119177167,0.0797537912087398
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,512020,"Electrical, electronics, & electromechanical assemblers",2022,2022,92,Public Administration,True,True,334,448.6911620829375,82710.54790419161,42110.53497342364,13,0.0554336868178876,electrical-electronics-electromechanical-assemblers,296.0,12.837837837837837,77157.45608108108,7.197090346362707,0.0044589498265348
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,5120XX,Other assemblers and fabricators,2022,2022,92,Public Administration,True,True,2112,1128.28470461747,57436.44696969697,15317.007091543068,97,0.0421725363674992,other-assemblers-and-fabricators,1962.0,7.64525993883792,52428.76095820592,9.5514101801547,0.0281955150707831
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,513020,"Butchers & other meat, poultry, & fish processing workers",2022,2022,92,Public Administration,True,True,381,479.2219506717448,52622.21784776903,21501.112722674097,17,0.0308623893488209,butchers-other-meat-poultry-fish-processing-workers,438.0,-13.013698630136986,50349.76484018265,4.513333904933759,0.0050864068380532
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,513092,Food batchmakers,2022,2022,92,Public Administration,True,True,129,278.84921719488955,39783.27906976744,18106.864731318845,6,0.0289680531387757,food-batchmakers,,,,,0.0017221692443802
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,514041,Machinists,2022,2022,92,Public Administration,True,True,2537,1236.6060608997298,64715.99527000394,16297.165056786382,134,0.1481131565461294,machinists,2527.0,0.3957261574990107,59527.637910565885,8.71587978550909,0.033869328472811
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,514111,Tool & die makers,2022,2022,92,Public Administration,True,True,152,302.688788861373,77542.49342105263,41610.647824543215,12,0.0566056399993248,tool-die-makers,184.0,-17.391304347826086,61196.54347826087,26.71057712368739,0.0020292226755487
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,514120,"Welding, soldering, & brazing workers",2022,2022,92,Public Administration,True,True,4090,1570.1117882220467,59034.949388753055,9817.62166673693,180,0.1449839632996847,welding-soldering-brazing-workers,4080.0,0.2450980392156862,55621.35490196078,6.137201247271192,0.0546021101512798
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,514XXX,"Miscellaneous metal workers & plastic workers, including multiple machine tool setters",2022,2022,92,Public Administration,True,True,434,511.468631973524,80628.12903225806,74671.97497756044,22,0.0213921788924831,miscellaneous-metal-workers-plastic-workers-including-multiple-machine-tool-setters,355.0,22.253521126760564,77854.5971830986,3.562450965659316,0.005793964744659
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,515111,Prepress technicians & workers,2022,2022,92,Public Administration,True,True,310,432.27006665327,53027.99032258065,43538.75148030335,19,0.2929499442146986,prepress-technicians-workers,427.0,-27.400468384074944,38943.1943793911,36.1675413834138,0.004138546246185
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,515112,Printing press operators,2022,2022,92,Public Administration,True,True,961,761.0883612927773,58752.020811654525,18448.68727768575,51,0.1358380044549198,printing-press-operators,1149.0,-16.362053959965188,52815.26631853786,11.240603156880978,0.0128294933631735
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,516011,Laundry & drycleaning workers,2022,2022,92,Public Administration,True,True,530,565.2127328671376,42955.58679245283,34887.35543740648,25,0.0793104006734424,laundry-drycleaning-workers,670.0,-20.8955223880597,31722.10895522388,35.412140640097824,0.0070755790660582
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,516031,Sewing machine operators,2022,2022,92,Public Administration,True,True,128,277.7663044355692,52982.890625,57905.70298689116,11,0.0192129682594774,sewing-machine-operators,102.0,25.49019607843137,55573.06862745098,-4.660851139631922,0.0017088190951989
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,516050,"Tailors, dressmakers, & sewers",2022,2022,92,Public Administration,True,True,123,272.2871453243324,46512.0,14665.90805085563,7,0.0515767811584892,tailors-dressmakers-sewers,102.0,20.588235294117645,36149.5,28.665680023236835,0.0016420683492927
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,517041,"Sawing machine setters, operators, & tenders, wood",2022,2022,92,Public Administration,True,True,98,243.04554034679748,35349.30612244898,59769.59609870665,17,0.0754303426977305,sawing-machine-setters-operators-tenders-wood,107.0,-8.411214953271028,31859.57943925233,10.953461234008492,0.0013083146197617
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,5170XX,"Miscellaneous woodworkers, including model makers & patternmakers",2022,2022,92,Public Administration,True,True,173,322.92194769422645,63855.89017341041,49753.68820155123,11,0.1507322153539835,miscellaneous-woodworkers-including-model-makers-patternmakers,146.0,18.493150684931507,50377.520547945205,26.75473004400364,0.0023095758083548
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,518010,"Power plant operators, distributors, & dispatchers",2022,2022,92,Public Administration,True,True,1189,846.5721723482958,41482.8645920942,23035.82277481824,79,0.4889928028830309,power-plant-operators-distributors-dispatchers,1239.0,-4.035512510088781,42560.20500403551,-2.5313327598848683,0.0158733273764967
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,518021,Stationary engineers & boiler operators,2022,2022,92,Public Administration,True,True,4593,1663.8586349367529,88496.02264315262,21489.118577372443,237,0.9333804541465972,stationary-engineers-boiler-operators,4356.0,5.440771349862259,81977.01974288338,7.95223212641269,0.0613172351894446
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,518031,Water & wastewater treatment plant & system operators,2022,2022,92,Public Administration,True,True,4318,1613.28060892836,55886.07271885132,10505.751527610846,220,0.8585919154653338,water-wastewater-treatment-plant-system-operators,4009.0,7.707657770017461,53772.73285108506,3.930132905126503,0.057645944164603
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,518090,Miscellaneous plant & system operators,2022,2022,92,Public Administration,True,True,847,714.5214234430604,62119.58205430933,19023.107873269186,45,0.3816472339413856,miscellaneous-plant-system-operators,802.0,5.610972568578553,63884.720698254365,-2.7630059655144867,0.0113075763565119
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,519010,"Chemical processing machine setters, operators, & tenders",2022,2022,92,Public Administration,True,True,366,469.6937474283024,66216.28415300546,53574.28405940419,11,0.1021995454510177,chemical-processing-machine-setters-operators-tenders,237.0,54.43037974683544,66281.97890295359,-0.0991140443231465,0.0048861546003345
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,519020,"Crushing, grinding, polishing, mixing, & blending workers",2022,2022,92,Public Administration,True,True,292,419.532652154336,89900.75684931508,104560.29059326884,10,0.0722181329885051,crushing-grinding-polishing-mixing-blending-workers,267.0,9.363295880149812,86792.79400749064,3.5808996327001608,0.0038982435609226
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,519030,Cutting workers,2022,2022,92,Public Administration,True,True,541,571.0480053990011,12283.190388170056,14437.30482044474,28,0.1711370648686714,cutting-workers,425.0,27.294117647058822,11002.376470588237,11.64124787954417,0.0072224307070519
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,519051,"Furnace, kiln, oven, drier, & kettle operators & tenders",2022,2022,92,Public Administration,True,True,330,445.9963017565404,65647.7303030303,61464.9868753553,11,0.5954884496533386,furnace-kiln-oven-drier-kettle-operators-tenders,282.0,17.02127659574468,59065.95744680851,11.143090099147152,0.0044055492298098
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,519061,"Inspectors, testers, sorters, samplers, & weighers",2022,2022,92,Public Administration,True,True,20308,3498.4795945308565,70504.75896198543,6192.705392983389,969,0.4869297759605949,inspectors-testers-sorters-samplers-weighers,20425.0,-0.572827417380661,65897.74545899633,6.99115496425553,0.2711148295726631
