ID Major Occupation Group,Major Occupation Group,ID Minor Occupation Group,Minor Occupation Group,ID Broad Occupation,Broad Occupation,ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Industry Sector,Industry Sector,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,yiopop RCA,Slug Detailed Occupation,Workforce Prev,Workforce Growth,Wage Prev,Average Wage Growth,Share
410000-430000,Sales & Office Occupations,410000,Sales & related occupations,410000,Sales & related occupations,411011,Firstline supervisors of retail sales workers,2022,2022,92,Public Administration,True,True,2272,1170.241994750395,80797.37235915494,33580.15313550016,139,0.0163830210832017,firstline-supervisors-of-retail-sales-workers,2595.0,-12.447013487475916,75925.09980732178,6.417209281512598,0.0303315389397818
410000-430000,Sales & Office Occupations,410000,Sales & related occupations,410000,Sales & related occupations,411012,Firstline supervisors of nonretail sales workers,2022,2022,92,Public Administration,True,True,2427,1209.500862309949,64234.90276060981,18543.24435847624,144,0.0470628958847575,firstline-supervisors-of-nonretail-sales-workers,1727.0,40.53271569195136,68156.84018529241,-5.75428293626928,0.0324008120628743
410000-430000,Sales & Office Occupations,410000,Sales & related occupations,410000,Sales & related occupations,412010,Cashiers,2022,2022,92,Public Administration,True,True,6411,1965.750955449869,38345.73966619872,9590.649002998123,281,0.0412385516097548,cashiers,6689.0,-4.156077141575722,32977.88996860517,16.27711688862969,0.0855878064009426
410000-430000,Sales & Office Occupations,410000,Sales & related occupations,410000,Sales & related occupations,412021,Counter & rental clerks,2022,2022,92,Public Administration,True,True,327,443.9644217549205,38118.605504587154,33244.201976459655,11,0.0857341905171011,counter-rental-clerks,451.0,-27.494456762749447,35320.30820399113,7.922629905816677,0.0043654987822661
410000-430000,Sales & Office Occupations,410000,Sales & related occupations,410000,Sales & related occupations,412031,Retail salespersons,2022,2022,92,Public Administration,True,True,477,536.2079729260253,37823.155136268346,23535.55250156241,26,0.0031775707768013,retail-salespersons,466.0,2.360515021459228,34563.01502145923,9.432452906047072,0.0063680211594524
410000-430000,Sales & Office Occupations,410000,Sales & related occupations,410000,Sales & related occupations,413011,Advertising sales agents,2022,2022,92,Public Administration,True,True,82,222.3215531481863,49809.48780487805,111786.81680189817,5,0.0139391804689687,advertising-sales-agents,,,,,0.0010947122328618
410000-430000,Sales & Office Occupations,410000,Sales & related occupations,410000,Sales & related occupations,413021,Insurance sales agents,2022,2022,92,Public Administration,True,True,329,445.3200385374461,63393.55015197569,41875.50226591831,19,0.012448943199135,insurance-sales-agents,348.0,-5.459770114942529,59692.98563218391,6.199328917125884,0.0043921990806286
410000-430000,Sales & Office Occupations,410000,Sales & related occupations,410000,Sales & related occupations,413031,"Securities, commodities, & financial services sales agents",2022,2022,92,Public Administration,True,True,843,712.8322545101493,108128.96322657177,47067.51786920048,33,0.0783246609301623,securities-commodities-financial-services-sales-agents,833.0,1.2004801920768309,98728.71308523408,9.521293094565394,0.011254175759787
410000-430000,Sales & Office Occupations,410000,Sales & related occupations,410000,Sales & related occupations,413041,Travel agents,2022,2022,92,Public Administration,True,True,464,528.8507037037099,52624.61637931035,38656.434256589055,28,0.1541844318479272,travel-agents,389.0,19.28020565552699,50737.34961439589,3.719679445729233,0.0061944692200963
410000-430000,Sales & Office Occupations,410000,Sales & related occupations,410000,Sales & related occupations,413091,"Sales representatives of services, except advertising, insurance, financial services, and travel",2022,2022,92,Public Administration,True,True,1266,873.5540957795064,74935.49842022116,30891.883952437904,67,0.0402249328185506,sales-representatives-of-services-except-advertising-insurance-financial-services-and-travel,1191.0,6.297229219143577,69164.83459277918,8.34334942231531,0.0169012888634524
