ID Major Occupation Group,Major Occupation Group,ID Minor Occupation Group,Minor Occupation Group,ID Broad Occupation,Broad Occupation,ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Industry Sector,Industry Sector,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,yiopop RCA,Slug Detailed Occupation,Workforce Prev,Workforce Growth,Wage Prev,Average Wage Growth,Share
310000-390000,Service Occupations,310000,Healthcare Support Occupations,310000,Healthcare Support Occupations,311121,Home health aides,2022,2022,92,Public Administration,True,True,11617,2646.093401826613,25360.396918309376,4997.056438172249,518,0.4340955093732827,home-health-aides,10508.0,10.553863722877807,23329.68243243244,8.704424039025435,0.1550886830384886
310000-390000,Service Occupations,310000,Healthcare Support Occupations,310000,Healthcare Support Occupations,311122,Personal care aides,2022,2022,92,Public Administration,True,True,120296,8511.940242378249,27728.56591241604,1977.8040198224685,5477,1.7520079570673717,personal-care-aides,113367.0,6.112007903534538,25294.055554085404,9.624832020808242,1.605969545906691
310000-390000,Service Occupations,310000,Healthcare Support Occupations,310000,Healthcare Support Occupations,311131,Nursing assistants,2022,2022,92,Public Administration,True,True,13046,2804.1085541311977,36502.35551126782,6422.761212063417,573,0.194574612276902,nursing-assistants,14742.0,-11.504544837878171,33600.20790937458,8.63729060760822,0.1741660462184834
310000-390000,Service Occupations,310000,Healthcare Support Occupations,310000,Healthcare Support Occupations,31113X,Orderlies and psychiatric aides,2022,2022,92,Public Administration,True,True,1840,1053.1277184406065,51918.43369565217,14085.066754323492,79,0.5378262481474152,orderlies-and-psychiatric-aides,1565.0,17.57188498402556,45541.064536741214,14.00355750087019,0.0245642744934853
310000-390000,Service Occupations,310000,Healthcare Support Occupations,310000,Healthcare Support Occupations,312010,Occupational therapy assistants & aides,2022,2022,92,Public Administration,True,True,790,690.0605128315375,55494.70632911393,54251.72064751711,35,0.2981648144160308,occupational-therapy-assistants-aides,776.0,1.804123711340206,45251.653350515466,22.63575409998093,0.0105466178531812
310000-390000,Service Occupations,310000,Healthcare Support Occupations,310000,Healthcare Support Occupations,312020,Physical therapist assistants & aides,2022,2022,92,Public Administration,True,True,609,605.8743065061661,33967.39408866995,24228.886726500103,22,0.1069096158543633,physical-therapist-assistants-aides,623.0,-2.247191011235955,36549.03370786517,-7.063496233115642,0.0081302408513763
310000-390000,Service Occupations,310000,Healthcare Support Occupations,310000,Healthcare Support Occupations,319091,Dental assistants,2022,2022,92,Public Administration,True,True,2192,1149.454816787077,47376.006386861314,12608.785035725889,114,0.142744743793524,dental-assistants,2547.0,-13.937966234786025,50555.2811150373,-6.288709424721873,0.0292635270052825
310000-390000,Service Occupations,310000,Healthcare Support Occupations,310000,Healthcare Support Occupations,319092,Medical assistants,2022,2022,92,Public Administration,True,True,7980,2193.132207701004,42443.78709273183,6101.394825952238,345,0.2748412890743489,medical-assistants,6867.0,16.207951070336392,39021.07587010339,8.771442473862697,0.1065341904663113
310000-390000,Service Occupations,310000,Healthcare Support Occupations,310000,Healthcare Support Occupations,319094,Medical transcriptionists,2022,2022,92,Public Administration,True,True,74,211.19834608565407,33720.45945945946,40070.62529467676,6,0.0315803361324709,medical-transcriptionists,73.0,1.36986301369863,31480.890410958906,7.114058780627537,0.0009879110394119
310000-390000,Service Occupations,310000,Healthcare Support Occupations,310000,Healthcare Support Occupations,319095,Pharmacy aides,2022,2022,92,Public Administration,True,True,219,363.32602165942666,67717.45662100456,61878.95780350227,10,0.1172713850680669,pharmacy-aides,182.0,20.32967032967033,70847.92857142857,-4.418579362229169,0.002923682670692
310000-390000,Service Occupations,310000,Healthcare Support Occupations,310000,Healthcare Support Occupations,319096,Veterinary assistants & laboratory animal caretakers,2022,2022,92,Public Administration,True,True,119,267.82312273120067,46737.78991596639,86985.31632219708,7,0.0343243264182994,veterinary-assistants-laboratory-animal-caretakers,115.0,3.4782608695652173,64416.0,-27.44381843646549,0.0015886677525678
310000-390000,Service Occupations,310000,Healthcare Support Occupations,310000,Healthcare Support Occupations,319097,Phlebotomists,2022,2022,92,Public Administration,True,True,1125,823.4730945284846,38710.41066666667,13453.438737681929,44,0.186193277881412,phlebotomists,1083.0,3.878116343490305,37606.929824561405,2.934248680371066,0.0150189178288972
310000-390000,Service Occupations,310000,Healthcare Support Occupations,310000,Healthcare Support Occupations,31909X,"Healthcare support workers, all other, including medical equipment preparers",2022,2022,92,Public Administration,True,True,8212,2224.782226515517,42669.81466147102,8394.770359449092,367,0.879333432640596,healthcare-support-workers-all-other-including-medical-equipment-preparers,6955.0,18.07332854061826,40712.65161754133,4.807260068234977,0.1096314250763595
310000-390000,Service Occupations,330000,Protective service occupations,330000,Protective service occupations,331011,Firstline supervisors of correctional officers,2022,2022,92,Public Administration,True,True,40309,4928.539294869938,72034.51301198243,4505.796981105836,2032,19.95127108595296,firstline-supervisors-of-correctional-officers,43856.0,-8.08783290769792,66583.34465067493,8.186984883241735,0.5381311633466848
310000-390000,Service Occupations,330000,Protective service occupations,330000,Protective service occupations,331012,Firstline supervisors of police & detectives,2022,2022,92,Public Administration,True,True,99461,7740.324106426468,103997.35785885924,4105.057629452359,4752,18.106979452955425,firstline-supervisors-of-police-detectives,102115.0,-2.5990305048229936,97319.88592273416,6.8613643273550124,1.3278191877155132
310000-390000,Service Occupations,330000,Protective service occupations,330000,Protective service occupations,331021,Firstline supervisors of fire fighting & prevention workers,2022,2022,92,Public Administration,True,True,48313,5395.575644694078,112865.96069380912,6323.987482384741,2403,19.349743027992933,firstline-supervisors-of-fire-fighting-prevention-workers,47943.0,0.7717497862044511,106115.4207496402,6.361507023654535,0.644985757393346
310000-390000,Service Occupations,330000,Protective service occupations,330000,Protective service occupations,331090,"Miscellaneous first-line supervisors, protective service workers",2022,2022,92,Public Administration,True,True,28887,4172.388505768936,80581.8027832589,7510.18807568643,1338,7.525709897094547,miscellaneous-first-line-supervisors-protective-service-workers,28663.0,0.7814953075393365,74632.06457802742,7.97209381633957,0.3856457593985384
310000-390000,Service Occupations,330000,Protective service occupations,330000,Protective service occupations,332011,Firefighters,2022,2022,92,Public Administration,True,True,320226,13878.59368739157,83368.5867730915,2055.374134066832,14430,19.288273352327263,firefighters,310321.0,3.191856174735193,77316.02542206296,7.828340008410965,4.275064871712409
310000-390000,Service Occupations,330000,Protective service occupations,330000,Protective service occupations,332020,Fire inspectors,2022,2022,92,Public Administration,True,True,12529,2747.9895561934463,83566.73533402506,9498.53323303341,627,9.346994018611916,fire-inspectors,11636.0,7.674458576830526,78453.10544860776,6.518071982207354,0.1672640190917813
310000-390000,Service Occupations,330000,Protective service occupations,330000,Protective service occupations,333011,Bailiffs,2022,2022,92,Public Administration,True,True,26446,3992.243307106309,61272.52276336686,5686.072253538806,1291,19.632105180158213,bailiffs,27188.0,-2.729145211122554,57400.3316168898,6.745938633806925,0.3530580452471266
310000-390000,Service Occupations,330000,Protective service occupations,330000,Protective service occupations,333012,Correctional officers and jailers,2022,2022,92,Public Administration,True,True,366509,14845.446741929476,59969.34314300604,1504.7575837219383,16489,19.9579220877632,correctional-officers-and-jailers,377385.0,-2.881937543887542,55142.59614187104,8.75320956727669,4.892949826267834
310000-390000,Service Occupations,330000,Protective service occupations,330000,Protective service occupations,333021,Detectives & criminal investigators,2022,2022,92,Public Administration,True,True,135991,9049.730234597057,97012.34572876146,3402.1268029752314,6280,18.243076426683785,detectives-criminal-investigators,131921.0,3.0851797666785425,90369.43162953586,7.350841959986905,1.8155001373062845
310000-390000,Service Occupations,330000,Protective service occupations,330000,Protective service occupations,333050,Police officers,2022,2022,92,Public Administration,True,True,776545,21579.766668488926,82208.19046288366,1288.694523267156,34327,18.529459337957714,police-officers,763684.0,1.6840735173186814,76173.73196636305,7.921967771232903,10.366991595947589
